ID|IDEXT|TYPE_CRI|VALEUR_CRI|UNITE_PONDERATION|DEVISE_CRI|DATE_EFFET|ETAT|TIMESTAMP
721517STD|false|STD|3449.04|1000|EUR|25/01/17|A|Correction CRI 27022019
721533STD|false|STD|4742|1000|EUR|01/01/18|A|Correction CRI 27022019
206076STD|false|STD|1394.21|1000|EUR|01/01/18|A|Correction CRI 27022019
206737STD|false|STD|696.36|1000|EUR|01/01/19|A|Correction CRI 27022019
210196STD|false|STD|2211.62|1000|EUR|09/01/18|A|Correction CRI 27022019
212082STD|false|STD|1418.01|1000|EUR|09/01/18|A|Correction CRI 27022019
212083STD|false|STD|1629.05|1000|EUR|09/01/18|A|Correction CRI 27022019
282863STD|false|STD|1529.81|1000|EUR|01/01/18|A|Correction CRI 27022019
285843STD|false|STD|1529.08|1000|EUR|01/01/18|A|Correction CRI 27022019
293166STD|false|STD|743.33|1000|EUR|01/01/18|A|Correction CRI 27022019
299949STD|false|STD|672.86|1000|EUR|03/01/18|A|Correction CRI 27022019
513717STD|false|STD|4793.28|1000|EUR|01/01/19|A|Correction CRI 27022019
514760STD|false|STD|288.7|1000|EUR|01/01/18|A|Correction CRI 27022019
521157STD|false|STD|1879.72|1000|EUR|01/01/18|A|Correction CRI 27022019
525979STD|false|STD|1645.96|1000|EUR|01/01/19|A|Correction CRI 27022019
532662STD|false|STD|1771.4|1000|EUR|01/01/18|A|Correction CRI 27022019
532665STD|false|STD|1911.78|1000|EUR|01/01/18|A|Correction CRI 27022019
532749STD|false|STD|2108.42|1000|EUR|01/01/18|A|Correction CRI 27022019
532758STD|false|STD|995.32|1000|EUR|01/01/18|A|Correction CRI 27022019
532763STD|false|STD|1936.37|1000|EUR|01/01/18|A|Correction CRI 27022019
533101STD|false|STD|2053.44|1000|EUR|01/01/18|A|Correction CRI 27022019
533102STD|false|STD|4086.33|1000|EUR|01/01/18|A|Correction CRI 27022019
533103STD|false|STD|3953.9|1000|EUR|01/01/18|A|Correction CRI 27022019
533105STD|false|STD|1987.27|1000|EUR|01/01/18|A|Correction CRI 27022019
533107STD|false|STD|4155.17|1000|EUR|01/01/18|A|Correction CRI 27022019
533449STD|false|STD|1962.06|1000|EUR|01/01/18|A|Correction CRI 27022019
536377STD|false|STD|819.06|1000|EUR|01/01/18|A|Correction CRI 27022019
536378STD|false|STD|1628.51|1000|EUR|01/01/18|A|Correction CRI 27022019
537549STD|false|STD|1218.54|1000|EUR|01/01/18|A|Correction CRI 27022019
539500STD|false|STD|3753.17|1000|EUR|01/01/18|A|Correction CRI 27022019
539505STD|false|STD|3473.15|1000|EUR|01/01/18|A|Correction CRI 27022019
539549STD|false|STD|123.89|1000|EUR|01/01/18|A|Correction CRI 27022019
645445STD|false|STD|649.4|1000|EUR|01/01/18|A|Correction CRI 27022019
647160STD|false|STD|810.74|1000|EUR|01/01/18|A|Correction CRI 27022019
647177STD|false|STD|1524.69|1000|EUR|01/01/18|A|Correction CRI 27022019
647201STD|false|STD|445.45|1000|EUR|01/01/18|A|Correction CRI 27022019
733026STD|false|STD|4362.98|1000|EUR|01/01/18|A|Correction CRI 27022019
734067STD|false|STD|1648.1|1000|EUR|03/01/18|A|Correction CRI 27022019
147975STD|false|STD|1295.53|1000|EUR|06/01/15|A|Correction CRI 27022019
157695STD|false|STD|829.24|1000|EUR|01/01/13|A|Correction CRI 27022019
157872STD|false|STD|349.66|1000|EUR|01/01/12|A|Correction CRI 27022019
510442STD|false|STD|996.76|1000|EUR|01/01/16|A|Correction CRI 27022019
510478STD|false|STD|1430.01|1000|EUR|21/01/16|A|Correction CRI 27022019
511262STD|false|STD|1114.84|1000|EUR|29/01/16|A|Correction CRI 27022019
511304STD|false|STD|551.84|1000|EUR|01/01/17|A|Correction CRI 27022019
511324STD|false|STD|586.74|1000|EUR|01/01/16|A|Correction CRI 27022019
511558STD|false|STD|998.57|1000|EUR|25/01/16|A|Correction CRI 27022019
511559STD|false|STD|643.59|1000|EUR|01/01/15|A|Correction CRI 27022019
513420STD|false|STD|1966.62|1000|EUR|01/01/16|A|Correction CRI 27022019
514202STD|false|STD|604.33|1000|EUR|01/01/17|A|Correction CRI 27022019
514205STD|false|STD|1083.98|1000|EUR|01/01/17|A|Correction CRI 27022019
514333STD|false|STD|1919.24|1000|EUR|01/01/16|A|Correction CRI 27022019
516264STD|false|STD|1006.74|1000|EUR|25/01/16|A|Correction CRI 27022019
516265STD|false|STD|1489.91|1000|EUR|25/01/16|A|Correction CRI 27022019
516739STD|false|STD|1419.54|1000|EUR|01/01/16|A|Correction CRI 27022019
516795STD|false|STD|1100|1000|EUR|01/01/16|A|Correction CRI 27022019
516819STD|false|STD|930.9|1000|EUR|01/01/17|A|Correction CRI 27022019
516821STD|false|STD|1609.71|1000|EUR|01/01/17|A|Correction CRI 27022019
517242STD|false|STD|1070.86|1000|EUR|01/01/16|A|Correction CRI 27022019
517567STD|false|STD|1790.11|1000|EUR|01/01/16|A|Correction CRI 27022019
518117STD|false|STD|1183.5|1000|EUR|01/01/16|A|Correction CRI 27022019
518482STD|false|STD|979.91|1000|EUR|21/01/16|A|Correction CRI 27022019
518488STD|false|STD|1788.82|1000|EUR|25/01/16|A|Correction CRI 27022019
518499STD|false|STD|595.09|1000|EUR|01/01/17|A|Correction CRI 27022019
519834STD|false|STD|723.04|1000|EUR|01/01/16|A|Correction CRI 27022019
524971STD|false|STD|570.94|1000|EUR|01/01/17|A|Correction CRI 27022019
524972STD|false|STD|658.08|1000|EUR|01/01/16|A|Correction CRI 27022019
526329STD|false|STD|884.22|1000|EUR|01/01/17|A|Correction CRI 27022019
526330STD|false|STD|1234.92|1000|EUR|01/01/17|A|Correction CRI 27022019
527311STD|false|STD|1939.8|1000|EUR|01/01/17|A|Correction CRI 27022019
528397STD|false|STD|970.69|1000|EUR|01/01/17|A|Correction CRI 27022019
532736STD|false|STD|1792.77|1000|EUR|01/01/17|A|Correction CRI 27022019
532768STD|false|STD|3802.65|1000|EUR|01/01/17|A|Correction CRI 27022019
532771STD|false|STD|1045.61|1000|EUR|01/01/16|A|Correction CRI 27022019
532984STD|false|STD|1098.51|1000|EUR|01/01/16|A|Correction CRI 27022019
532988STD|false|STD|1070.86|1000|EUR|01/01/16|A|Correction CRI 27022019
533110STD|false|STD|1818.64|1000|EUR|01/01/17|A|Correction CRI 27022019
533111STD|false|STD|4089.57|1000|EUR|01/01/17|A|Correction CRI 27022019
534282STD|false|STD|943.91|1000|EUR|01/01/17|A|Correction CRI 27022019
535270STD|false|STD|1521.7|1000|EUR|02/01/16|A|Correction CRI 27022019
535272STD|false|STD|1007.35|1000|EUR|02/01/16|A|Correction CRI 27022019
535751STD|false|STD|1045.1|1000|EUR|20/01/16|A|Correction CRI 27022019
535799STD|false|STD|494.8|1000|EUR|14/01/18|A|Correction CRI 27022019
535861STD|false|STD|1066.03|1000|EUR|14/01/16|A|Correction CRI 27022019
