IDCRI|IDEXT_CRI|ID_CC
000289STD|true|000289
013054STD|true|013054
017668STD|true|017668
028883STD|true|028883
039916STD|true|039916
040026STD|true|040026
045789STD|true|045789
045895STD|true|045895
047938STD|true|047938
052721STD|true|052721
052722STD|true|052722
052728STD|true|052728
053707STD|true|053707
090089STD|true|090089
090090STD|true|090090
090094STD|true|090094
090216STD|true|090216
091670STD|true|091670
091878STD|true|091878
092572STD|true|092572
092576STD|true|092576
093471STD|true|093471
093472STD|true|093472
095005STD|true|095005
095006STD|true|095006
095008STD|true|095008
095010STD|true|095010
095011STD|true|095011
095012STD|true|095012
097670STD|true|097670
098915STD|true|098915
098917STD|true|098917
099079STD|true|099079
099090STD|true|099090
099591STD|true|099591
099641STD|true|099641
100194STD|true|100194
100198STD|true|100198
100358STD|true|100358
103676STD|true|103676
104533STD|true|104533
104535STD|true|104535
105369STD|true|105369
105375STD|true|105375
105377STD|true|105377
105774STD|true|105774
106732STD|true|106732
106940STD|true|106940
108806STD|true|108806
108866STD|true|108866
108939STD|true|108939
109149STD|true|109149
109189STD|true|109189
109263STD|true|109263
109809STD|true|109809
110037STD|true|110037
110186STD|true|110186
110290STD|true|110290
110417STD|true|110417
110423STD|true|110423
110533STD|true|110533
110585STD|true|110585
110613STD|true|110613
110898STD|true|110898
110908STD|true|110908
110914STD|true|110914
111969STD|true|111969
112589STD|true|112589
112592STD|true|112592
112593STD|true|112593
113573STD|true|113573
113577STD|true|113577
113578STD|true|113578
113579STD|true|113579
113601STD|true|113601
115228STD|true|115228
115700STD|true|115700
115703STD|true|115703
115923STD|true|115923
116200STD|true|116200
116201STD|true|116201
116203STD|true|116203
116339STD|true|116339
116342STD|true|116342
116350STD|true|116350
116528STD|true|116528
116552STD|true|116552
116553STD|true|116553
116554STD|true|116554
116555STD|true|116555
116815STD|true|116815
116816STD|true|116816
116817STD|true|116817
116818STD|true|116818
116851STD|true|116851
117019STD|true|117019
117020STD|true|117020
117360STD|true|117360
117363STD|true|117363
117365STD|true|117365
117367STD|true|117367
117370STD|true|117370
117464STD|true|117464
117465STD|true|117465
117516STD|true|117516
118486STD|true|118486
118487STD|true|118487
118489STD|true|118489
118492STD|true|118492
118513STD|true|118513
118514STD|true|118514
118515STD|true|118515
118516STD|true|118516
118517STD|true|118517
118518STD|true|118518
118519STD|true|118519
118728STD|true|118728
118729STD|true|118729
119578STD|true|119578
144001STD|true|144001
145203STD|true|145203
148490STD|true|148490
148491STD|true|148491
152846STD|true|152846
152854STD|true|152854
152855STD|true|152855
152868STD|true|152868
152869STD|true|152869
152870STD|true|152870
152872STD|true|152872
152873STD|true|152873
152874STD|true|152874
152875STD|true|152875
152876STD|true|152876
152890STD|true|152890
153135STD|true|153135
153456STD|true|153456
153812STD|true|153812
153813STD|true|153813
153896STD|true|153896
154185STD|true|154185
154329STD|true|154329
154330STD|true|154330
154338STD|true|154338
154348STD|true|154348
154349STD|true|154349
154350STD|true|154350
154351STD|true|154351
154406STD|true|154406
154462STD|true|154462
154646STD|true|154646
154779STD|true|154779
154780STD|true|154780
155458STD|true|155458
155459STD|true|155459
155460STD|true|155460
155461STD|true|155461
155462STD|true|155462
155463STD|true|155463
155472STD|true|155472
155473STD|true|155473
155482STD|true|155482
155483STD|true|155483
155484STD|true|155484
155556STD|true|155556
155714STD|true|155714
155861STD|true|155861
156277STD|true|156277
156634STD|true|156634
156801STD|true|156801
156802STD|true|156802
156803STD|true|156803
157445STD|true|157445
157695STD|true|157695
157704STD|true|157704
157748STD|true|157748
157804STD|true|157804
157805STD|true|157805
157806STD|true|157806
157807STD|true|157807
157808STD|true|157808
157809STD|true|157809
157811STD|true|157811
157812STD|true|157812
157852STD|true|157852
157860STD|true|157860
157872STD|true|157872
158185STD|true|158185
158186STD|true|158186
158292STD|true|158292
158307STD|true|158307
158309STD|true|158309
158310STD|true|158310
158311STD|true|158311
158313STD|true|158313
158495STD|true|158495
158655STD|true|158655
158703STD|true|158703
158830STD|true|158830
159054STD|true|159054
159945STD|true|159945
532777STD|true|532777
532782STD|true|532782
532783STD|true|532783
600155STD|true|600155
600156STD|true|600156
600172STD|true|600172
600199STD|true|600199
600200STD|true|600200
600201STD|true|600201
604029STD|true|604029
606742STD|true|606742
609599STD|true|609599
610633STD|true|610633
611065STD|true|611065
617608STD|true|617608
617609STD|true|617609
617610STD|true|617610
636394STD|true|636394
636881STD|true|636881
637056STD|true|637056
637060STD|true|637060
639349STD|true|639349
640413STD|true|640413
640609STD|true|640609
641987STD|true|641987
641988STD|true|641988
641991STD|true|641991
643203STD|true|643203
643225STD|true|643225
644651STD|true|644651
644652STD|true|644652
703399STD|true|703399
703489STD|true|703489
703490STD|true|703490
703491STD|true|703491
703496STD|true|703496
703722STD|true|703722
703725STD|true|703725
703726STD|true|703726
703727STD|true|703727
703728STD|true|703728
703881STD|true|703881
703882STD|true|703882
703883STD|true|703883
703884STD|true|703884
703885STD|true|703885
703886STD|true|703886
703887STD|true|703887
703888STD|true|703888
703889STD|true|703889
703890STD|true|703890
703891STD|true|703891
703892STD|true|703892
703893STD|true|703893
703894STD|true|703894
703895STD|true|703895
703899STD|true|703899
703900STD|true|703900
703901STD|true|703901
703902STD|true|703902
703904STD|true|703904
703905STD|true|703905
703906STD|true|703906
703939STD|true|703939
704077STD|true|704077
704078STD|true|704078
705130STD|true|705130
705131STD|true|705131
706535STD|true|706535
706536STD|true|706536
706572STD|true|706572
706573STD|true|706573
706574STD|true|706574
706581STD|true|706581
706582STD|true|706582
706583STD|true|706583
706584STD|true|706584
706585STD|true|706585
706586STD|true|706586
706587STD|true|706587
706838STD|true|706838
707075STD|true|707075
707246STD|true|707246
707247STD|true|707247
709037STD|true|709037
709038STD|true|709038
709090STD|true|709090
709091STD|true|709091
709092STD|true|709092
709093STD|true|709093
709094STD|true|709094
709095STD|true|709095
709096STD|true|709096
709402STD|true|709402
709497STD|true|709497
709498STD|true|709498
710970STD|true|710970
710971STD|true|710971
710972STD|true|710972
710973STD|true|710973
710976STD|true|710976
711872STD|true|711872
712074STD|true|712074
712075STD|true|712075
712160STD|true|712160
712161STD|true|712161
712162STD|true|712162
712163STD|true|712163
712940STD|true|712940
715064STD|true|715064
715065STD|true|715065
715087STD|true|715087
715088STD|true|715088
715506STD|true|715506
715947STD|true|715947
715955STD|true|715955
715958STD|true|715958
716061STD|true|716061
716062STD|true|716062
716063STD|true|716063
716220STD|true|716220
716285STD|true|716285
716290STD|true|716290
716293STD|true|716293
716350STD|true|716350
716508STD|true|716508
716509STD|true|716509
716535STD|true|716535
716690STD|true|716690
718425STD|true|718425
718777STD|true|718777
719505STD|true|719505
721517STD|true|721517
721533STD|true|721533
724443STD|true|724443
724531STD|true|724531
733026STD|true|733026
