ADRESSE_ID|||||||||||||||||||ERP_ID_ADRESSE
RCB_ADR000000383933|||||||||||||||||||168811
RCB_ADR000000383932|||||||||||||||||||76249
RCB_ADR000000383934|||||||||||||||||||192015
RCB_ADR000000383935|||||||||||||||||||179793
RCB_ADR000000383938|||||||||||||||||||179389
RCB_ADR000000383941|||||||||||||||||||103687
RCB_ADR000000383942|||||||||||||||||||178689
RCB_ADR000000383944|||||||||||||||||||179553
RCB_ADR000000383947|||||||||||||||||||178481
RCB_ADR000000383948|||||||||||||||||||191528
RCB_ADR000000383946|||||||||||||||||||104875
RCB_ADR000000383951|||||||||||||||||||123952
RCB_ADR000000383952|||||||||||||||||||132190
RCB_ADR000000383949|||||||||||||||||||179791
RCB_ADR000000383955|||||||||||||||||||178517
RCB_ADR000000383956|||||||||||||||||||95457
RCB_ADR000000383957|||||||||||||||||||94245
RCB_ADR000000383958|||||||||||||||||||178899
RCB_ADR000000383959|||||||||||||||||||169349
RCB_ADR000000383960|||||||||||||||||||131768
RCB_ADR000000383961|||||||||||||||||||181473
RCB_ADR000000383962|||||||||||||||||||142180
RCB_ADR000000383963|||||||||||||||||||103921
RCB_ADR000000383966|||||||||||||||||||131878
RCB_ADR000000383964|||||||||||||||||||124010
RCB_ADR000000383967|||||||||||||||||||167499
RCB_ADR000000383968|||||||||||||||||||107791
RCB_ADR000000383970|||||||||||||||||||107335
RCB_ADR000000383969|||||||||||||||||||84875
RCB_ADR000000383972|||||||||||||||||||131420
RCB_ADR000000383971|||||||||||||||||||107383
RCB_ADR000000383975|||||||||||||||||||181821
RCB_ADR000000383980|||||||||||||||||||102733
RCB_ADR000000383976|||||||||||||||||||103933
RCB_ADR000000383978|||||||||||||||||||73795
RCB_ADR000000383979|||||||||||||||||||180125
RCB_ADR000000383981|||||||||||||||||||140308
RCB_ADR000000383984|||||||||||||||||||178877
RCB_ADR000000383987|||||||||||||||||||131418
RCB_ADR000000383988|||||||||||||||||||126818
RCB_ADR000000383989|||||||||||||||||||108092
RCB_ADR000000383994|||||||||||||||||||122429
RCB_ADR000000383990|||||||||||||||||||193078
RCB_ADR000000383993|||||||||||||||||||181736
RCB_ADR000000383995|||||||||||||||||||181255
RCB_ADR000000383998|||||||||||||||||||89444
RCB_ADR000000384000|||||||||||||||||||89484
RCB_ADR000000383999|||||||||||||||||||126738
RCB_ADR000000384001|||||||||||||||||||170095
RCB_ADR000000384004|||||||||||||||||||108111
RCB_ADR000000384007|||||||||||||||||||181850
RCB_ADR000000384009|||||||||||||||||||124492
RCB_ADR000000384008|||||||||||||||||||143970
RCB_ADR000000384013|||||||||||||||||||107491
RCB_ADR000000384002|||||||||||||||||||133015
RCB_ADR000000384005|||||||||||||||||||133131
RCB_ADR000000384006|||||||||||||||||||191983
RCB_ADR000000384011|||||||||||||||||||180695
RCB_ADR000000384012|||||||||||||||||||179441
RCB_ADR000000384014|||||||||||||||||||94379
RCB_ADR000000384015|||||||||||||||||||127062
RCB_ADR000000384018|||||||||||||||||||181828
RCB_ADR000000384017|||||||||||||||||||181759
RCB_ADR000000384019|||||||||||||||||||165527
RCB_ADR000000384021|||||||||||||||||||95545
RCB_ADR000000384020|||||||||||||||||||92969
RCB_ADR000000384022|||||||||||||||||||123620
RCB_ADR000000384023|||||||||||||||||||107451
RCB_ADR000000384025|||||||||||||||||||182455
RCB_ADR000000384024|||||||||||||||||||181003
RCB_ADR000000384028|||||||||||||||||||88904
RCB_ADR000000384027|||||||||||||||||||86283
RCB_ADR000000384026|||||||||||||||||||84889
