PRODUCTID|PRODUCTIDEXT|||CATEGORIE
"RCB_TIE000000240464"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240567"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240553"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000124080"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000144254"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240627"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000125635"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240617"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000132098"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240616"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240608"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240471"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000138517"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240527"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240612"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000122238"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240587"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000122738"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240665"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000124753"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240534"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240585"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240686"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000122992"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240496"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000131355"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240584"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240569"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240526"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240481"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240590"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240643"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240596"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240472"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240639"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240623"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240523"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000141876"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000133955"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240468"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000124748"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240541"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000132543"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000117609"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000143847"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240540"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000119784"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240544"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240650"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240589"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240586"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240528"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240491"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240560"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240477"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240619"|"RCB_STE_COM000000000013"|||"1**"
"RCB_TIE000000240568"|"RCB_STE_COM000000000013"|||"1**"
