"PRODUCTID","OK_ID_TIERS","ERP_ID_TIERS","ERP_ID_TIERS_QUALIAC","ROLE"
"RCB_TIE000000000004","WFRE00000013","140413","140413","C"
"RCB_TIE000000001002","WFRE00003449","074210","074210","C"
"RCB_TIE000000000012","WFRE00000077","109159","109159","C"
"RCB_TIE000000000212","WFRE00000910","210566","210566","C"
"RCB_TIE000000000017","WFRE00000093","102093","102093","C"
"RCB_TIE000000000810","WFRE00002580","109023","109023","C"
"RCB_TIE000000000429","WFRE00001444","104190","104190","C"
"RCB_TIE000000001420","WFRE00005230","075708","075708","C"
"RCB_TIE000000001122","WFRE00003943","109936","109936","C"
"RCB_TIE000000000237","WFRE00000962","131512","131512","C"
"RCB_TIE000000000937","WFRE00003160","106610","106610","C"
"RCB_TIE000000001038","WFRE00003581","079567","079567","C"
"RCB_TIE000000000348","WFRE00001242","136024","136024","C"
"RCB_TIE000000000750","WFRE00002320","103465","103465","C"
"RCB_TIE000000000049","WFRE00000441","211455","211455","C"
"RCB_TIE000000001442","WFRE00005274","137601","137601","C"
"RCB_TIE000000000155","WFRE00000728","212078","212078","C"
"RCB_TIE000000000560","WFRE00001746","109178","109178","C"
"RCB_TIE000000001147","WFRE00004009","101868","101868","C"
"RCB_TIE000000000564","WFRE00001753","211355","211355","C"
"RCB_TIE000000001061","WFRE00003712","006677","006677","C"
"RCB_TIE000000001152","WFRE00004031","211885","211885","C"
"RCB_TIE000000000376","WFRE00001293","101830","101830","C"
"RCB_TIE000000001358","WFRE00004958","211808","211808","C"
"RCB_TIE000000000068","WFRE00000506","116971","116971","C"
"RCB_TIE000000000980","WFRE00003335","103183","103183","C"
"RCB_TIE000000000277","WFRE00001074","129727","129727","C"
"RCB_TIE000000001380","WFRE00005138","106965","106965","C"
"RCB_TIE000000001095","WFRE00003815","211876","211876","C"
"RCB_TIE000000001487","WFRE00005695","109383","109383","C"
"RCB_TIE000000002303","WFRE00009133","110501","110501","C"
"RCB_TIE000000000197","WFRE00000879","136444","136444","C"
"RCB_TIE000000001292","WFRE00004617","210858","210858","C"
"RCB_TIE000000001493","WFRE00005722","211691","211691","C"
"RCB_TIE000000002016","WFRE00007968","211796","211796","C"
"RCB_TIE000000001299","WFRE00004685","104833","104833","C"
"RCB_TIE000000002315","WFRE00009214","000959","000959","C"
"RCB_TIE000000002903","WFRE00011621","109128","109128","C"
"RCB_TIE000000002125","WFRE00008331","103121","103121","C"
"RCB_TIE000000002033","WFRE00008010","107496","107496","C"
"RCB_TIE000000002627","WFRE00010225","079197","079197","C"
"RCB_TIE000000001936","WFRE00007723","136292","136292","C"
"RCB_TIE000000002811","WFRE00010954","107524","107524","C"
"RCB_TIE000000002047","WFRE00008057","114764","114764","C"
"RCB_TIE000000002049","WFRE00008059","211978","211978","C"
"RCB_TIE000000002928","WFRE00011772","106174","106174","C"
"RCB_TIE000000001954","WFRE00007762","103051","103051","C"
"RCB_TIE000000001635","WFRE00006652","109457","109457","C"
"RCB_TIE000000002157","WFRE00008444","196334","196334","C"
"RCB_TIE000000001960","WFRE00007786","110822","110822","C"
"RCB_TIE000000002730","WFRE00010601","127585","127585","C"
"RCB_TIE000000002159","WFRE00008448","211215","211215","C"
"RCB_TIE000000002936","WFRE00011808","210712","210712","C"
"RCB_TIE000000002938","WFRE00011811","109065","109065","C"
"RCB_TIE000000002942","WFRE00011816","137565","137565","C"
"RCB_TIE000000002663","WFRE00010376","002913","002913","C"
"RCB_TIE000000002076","WFRE00008131","211162","211162","C"
"RCB_TIE000000002470","WFRE00009750","210838","210838","C"
"RCB_TIE000000002745","WFRE00010642","104001","104001","C"
"RCB_TIE000000002379","WFRE00009491","120147","120147","C"
"RCB_TIE000000002683","WFRE00010446","132743","132743","C"
"RCB_TIE000000001996","WFRE00007929","109886","109886","C"
"RCB_TIE000000003065","WFRE00012330","109538","109538","C"
"RCB_TIE000000001874","WFRE00007462","211402","211402","C"
"RCB_TIE000000003069","WFRE00012344","210092","210092","C"
"RCB_TIE000000002495","WFRE00009850","211485","211485","C"
"RCB_TIE000000002297","WFRE00009064","211101","211101","C"
"RCB_TIE000000002770","WFRE00010750","211535","211535","C"
"RCB_TIE000000003506","WFRE00014432","074824","074824","C"
"RCB_TIE000000004104","WFRE00016689","104157","104157","C"
"RCB_TIE000000004004","WFRE00016327","210350","210350","C"
"RCB_TIE000000004005","WFRE00016328","129017","129017","C"
"RCB_TIE000000002784","WFRE00010782","211139","211139","C"
"RCB_TIE000000003917","WFRE00016160","111898","111898","C"
"RCB_TIE000000002892","WFRE00011580","211774","211774","C"
"RCB_TIE000000003094","WFRE00012526","212269","212269","C"
"RCB_TIE000000003095","WFRE00012528","106168","106168","C"
"RCB_TIE000000003401","WFRE00013874","104676","104676","C"
"RCB_TIE000000004126","WFRE00016734","136119","136119","C"
"RCB_TIE000000003202","WFRE00013017","193098","193098","C"
"RCB_TIE000000003642","WFRE00015135","133371","133371","C"
"RCB_TIE000000003739","WFRE00015479","112961","112961","C"
"RCB_TIE000000003646","WFRE00015144","212429","212429","C"
"RCB_TIE000000004302","WFRE00017412","109875","109875","C"
"RCB_TIE000000003742","WFRE00015550","211872","211872","C"
"RCB_TIE000000004139","WFRE00016762","074792","074792","C"
"RCB_TIE000000003313","WFRE00013539","102155","102155","C"
"RCB_TIE000000003415","WFRE00013940","007997","007997","C"
"RCB_TIE000000003215","WFRE00013069","144584","144584","C"
"RCB_TIE000000004243","WFRE00017189","006191","006191","C"
"RCB_TIE000000003842","WFRE00015949","099316","099316","C"
"RCB_TIE000000004615","WFRE00018228","079507","079507","C"
"RCB_TIE000000004313","WFRE00017423","106564","106564","C"
"RCB_TIE000000004250","WFRE00017215","212345","212345","C"
"RCB_TIE000000004525","WFRE00018006","103395","103395","C"
"RCB_TIE000000004424","WFRE00017710","104969","104969","C"
"RCB_TIE000000004627","WFRE00018258","074680","074680","C"
"RCB_TIE000000004325","WFRE00017465","103741","103741","C"
"RCB_TIE000000004262","WFRE00017252","211517","211517","C"
"RCB_TIE000000003336","WFRE00013628","136151","136151","C"
"RCB_TIE000000004530","WFRE00018014","129778","129778","C"
"RCB_TIE000000004066","WFRE00016518","210727","210727","C"
"RCB_TIE000000004176","WFRE00016903","104336","104336","C"
"RCB_TIE000000003686","WFRE00015281","109056","109056","C"
"RCB_TIE000000004075","WFRE00016537","145820","145820","C"
"RCB_TIE000000004646","WFRE00018295","107618","107618","C"
"RCB_TIE000000003454","WFRE00014224","103008","103008","C"
"RCB_TIE000000003593","WFRE00014955","103542","103542","C"
"RCB_TIE000000004550","WFRE00018080","104667","104667","C"
"RCB_TIE000000004290","WFRE00017346","211910","211910","C"
"RCB_TIE000000004457","WFRE00017806","210507","210507","C"
"RCB_TIE000000004294","WFRE00017378","103698","103698","C"
"RCB_TIE000000003996","WFRE00016313","104251","104251","C"
"RCB_TIE000000004564","WFRE00018112","136085","136085","C"
"RCB_TIE000000005306","WFRE00020601","131640","131640","C"
"RCB_TIE000000004570","WFRE00018138","123511","123511","C"
"RCB_TIE000000005705","WFRE00022266","107109","107109","C"
"RCB_TIE000000005807","WFRE00022655","210864","210864","C"
"RCB_TIE000000005709","WFRE00022280","106532","106532","C"
"RCB_TIE000000005513","WFRE00021516","211543","211543","C"
"RCB_TIE000000003486","WFRE00014388","107664","107664","C"
"RCB_TIE000000005225","WFRE00020268","075335","075335","C"
"RCB_TIE000000005226","WFRE00020271","119327","119327","C"
"RCB_TIE000000005815","WFRE00022670","211284","211284","C"
"RCB_TIE000000005823","WFRE00022689","122553","122553","C"
"RCB_TIE000000005524","WFRE00021542","211598","211598","C"
"RCB_TIE000000005833","WFRE00022713","212040","212040","C"
"RCB_TIE000000004493","WFRE00017907","211305","211305","C"
"RCB_TIE000000005534","WFRE00021581","109598","109598","C"
"RCB_TIE000000005430","WFRE00021234","210850","210850","C"
"RCB_TIE000000004905","WFRE00019664","120735","120735","C"
"RCB_TIE000000005743","WFRE00022412","117341","117341","C"
"RCB_TIE000000005438","WFRE00021279","108648","108648","C"
"RCB_TIE000000005844","WFRE00022747","144101","144101","C"
"RCB_TIE000000004911","WFRE00019678","128325","128325","C"
"RCB_TIE000000005851","WFRE00022786","109744","109744","C"
"RCB_TIE000000005650","WFRE00022089","211473","211473","C"
"RCB_TIE000000005357","WFRE00021018","135456","135456","C"
"RCB_TIE000000005449","WFRE00021312","103226","103226","C"
"RCB_TIE000000006007","WFRE00023392","075471","075471","C"
"RCB_TIE000000006210","WFRE00024019","104292","104292","C"
"RCB_TIE000000006107","WFRE00023644","136328","136328","C"
"RCB_TIE000000005453","WFRE00021323","104727","104727","C"
"RCB_TIE000000005364","WFRE00021045","211148","211148","C"
"RCB_TIE000000005763","WFRE00022473","211122","211122","C"
"RCB_TIE000000005915","WFRE00022976","142964","142964","C"
"RCB_TIE000000004830","WFRE00019225","103791","103791","C"
"RCB_TIE000000005474","WFRE00021416","210423","210423","C"
"RCB_TIE000000006234","WFRE00024121","140576","140576","C"
"RCB_TIE000000005479","WFRE00021432","109675","109675","C"
"RCB_TIE000000005785","WFRE00022533","003236","003236","C"
"RCB_TIE000000005931","WFRE00023037","212303","212303","C"
"RCB_TIE000000005686","WFRE00022205","211925","211925","C"
"RCB_TIE000000005392","WFRE00021139","109166","109166","C"
"RCB_TIE000000005890","WFRE00022923","137785","137785","C"
"RCB_TIE000000006040","WFRE00023501","143904","143904","C"
"RCB_TIE000000004858","WFRE00019419","186377","186377","C"
"RCB_TIE000000005950","WFRE00023114","211379","211379","C"
"RCB_TIE000000005953","WFRE00023119","210798","210798","C"
"RCB_TIE000000006058","WFRE00023538","104652","104652","C"
"RCB_TIE000000005956","WFRE00023127","124979","124979","C"
"RCB_TIE000000004867","WFRE00019476","076737","076737","C"
"RCB_TIE000000006261","WFRE00024245","109881","109881","C"
"RCB_TIE000000007109","WFRE00027793","109690","109690","C"
"RCB_TIE000000007411","WFRE00029063","079300","079300","C"
"RCB_TIE000000007118","WFRE00027839","122773","122773","C"
"RCB_TIE000000006723","WFRE00026112","109075","109075","C"
"RCB_TIE000000006169","WFRE00023877","103807","103807","C"
